Date = 2017-10-05 13:17:51.4216; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:53.4039; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:54.1025; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:54.5579; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:55.1156; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:17:57.3967; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:10.1787; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:10.8537; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:11.4202; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:11.8593; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:12.3772; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:12.8807; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:18:13.8576; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:21:04.1281; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:22:04.3653; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:22:15.7150; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:22:33.2587; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:23:05.0624; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:23:40.9160; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:23:48.1491; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:04.6666; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:28.7864; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:36.7453; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:51.3342; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:52.1699; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:52.7655; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:53.3559; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:53.8681; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:24:54.2581; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:06.3724; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:08.2763; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:10.6717; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:11.1734; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:11.5938; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:28.9173; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:29.9804; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:32.2778; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:34.2193; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:34.6672; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:35.0435; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:35.5533; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:42.6136; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:43.1078; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:43.7230; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:44.2434; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:52.8034; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:53.3800; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:53.8116; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:54.2277; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:54.6114; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:55.1304; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:55.6879; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:25:56.1100; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:22.8548; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:24.1598; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:25.2847; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:25.6990; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:26.4337; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:35.3708; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:35.8515; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:36.3232; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:37.2596; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:37.6767; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:38.3931; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:26:39.9617; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:31:03.0339; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:31:17.3835; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:32:00.8089; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:32:01.4197; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:32:02.3070; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 13:32:02.6806; IP = ; URL = ; Controller = ; Action = ;
